PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE,PRICE_CAT,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,LOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
585000,3,2.0,1100.0,192 Colfax Ave,"Staten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5784263,-74.105437,2,13.279368835614243,7.00397413672268,1.8959762809501126,0.0027272727272727275,0.0018181818181818182,0.24476702318876614,New York,6.0,269.24372550764275
595000,3,1.0,1316.0,1509 E 48th St,"Brooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6239146,-73.9291226,2,13.296318365198623,7.183111701743281,1.851052707696543,0.0022796352583586625,0.0007598784194528875,0.16465266218290914,New York,3.0,216.68290343270843
215000,1,1.0,625.0,195 Prince St Unit 1LL,"New York, NY 10012",New York,New York County,New York,Manhattan,40.7267732,-74.002538,1,12.278397958261774,6.439350371100098,1.9067758781021467,0.0016,0.0016,0.06445757241969646,New York County,1.0,40.28598276231029
950000,1,1.0,621.0,The Rockwell # 3A,"New York, NY 10025",United States,New York,New York County,New York,40.7986579,-73.9679035,3,13.76421831620775,6.432940092739179,2.1396465873735306,0.001610305958132045,0.001610305958132045,0.015903306720933208,New York,1.0,9.875953473699521
314000,3,1.0,1572.0,850 E 39th St,"Brooklyn, NY 11210",United States,New York,Kings County,Brooklyn,40.6362368,-73.939679,1,12.657151449598695,7.360739903058278,1.7195487975794168,0.0019083969465648854,0.0006361323155216285,0.15020776596181515,New York,3.0,236.12660809197342
395000,5,1.0,1000.0,110 E 71st St Unit Medical,"Manhattan, NY 10021",United States,New York,New York County,New York,40.7700395,-73.9638872,1,12.886643575525625,6.90875477931522,1.8652628421706579,0.005,0.001,0.014968423567288945,New York,5.0,14.968423567288944
600000,2,2.0,2184.207862,1406 Mac Donough Pl,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8429545,-73.8249591,2,13.304686600863562,7.6894662343551055,1.730248393759855,0.0009156637675356925,0.0009156637675356925,0.15801570176111798,New York,4.0,345.1391381060812
790000,6,3.0,2520.0,78 Mountainview Ave,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6105856,-74.1268175,3,13.579789490265188,7.83241092718792,1.7337943088668812,0.002380952380952381,0.0011904761904761906,0.23233171224266969,New York,18.0,585.4759148515276
539000,2,2.0,1100.0,9425 Shore Rd Apt 4F,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6170731,-74.0383836,2,13.197472705176983,7.00397413672268,1.8842834721477688,0.0018181818181818182,0.0018181818181818182,0.17910490677971516,Kings County,4.0,197.01539745768667
1295000,4,2.0,1995.0,2501 Palisade Ave Apt H2,"Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.8809873,-73.9224337,4,14.07402202531625,7.59890045687141,1.8521129609731397,0.0020050125313283208,0.0010025062656641604,0.10936213017759118,Bronx County,8.0,218.17744970429442
245000,3,1.0,2184.207862,2942 Lurting Ave,"Bronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8690109,-73.8564445,1,12.409017571151187,7.6894662343551055,1.6137683934042137,0.0013734956513035386,0.00045783188376784625,0.1433509941334924,New York,3.0,313.10836841189
400000,7,3.0,2385.0,340 E 234th St,"Bronx, NY 10470",United States,New York,Bronx County,The Bronx,40.8969146,-73.8654984,1,12.899222326086994,7.777373602657861,1.6585576294906006,0.0029350104821802936,0.0012578616352201257,0.15532736853407,New York,21.0,370.45577395375693
280000,1,1.0,1000.0,8015 6th Ave Apt A1,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,40.6241766,-74.0216837,1,12.54254845357358,6.90875477931522,1.8154571777718775,0.001,0.001,0.16674906606410062,Kings County,1.0,166.74906606410062
899000,3,2.0,1440.0,40 Adelphi Ave,"Staten Island, NY 10309",United States,New York,Richmond County,Staten Island,40.5159004,-74.2314825,3,13.70903942580019,7.273092595999522,1.884898238933557,0.0020833333333333333,0.001388888888888889,0.3730182382222217,New York,6.0,537.1462630399992
2280000,2,2.0,1400.0,The Rockwell # 6E,"New York, NY 10025",United States,New York,New York County,New York,40.7986579,-73.9679035,5,14.639686439527019,7.244941546337007,2.0206769572804553,0.0014285714285714286,0.0014285714285714286,0.015903306720933208,New York,4.0,22.26462940930649
