PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_CAT
1250000,8,2.3738608579684373,2184.207862,New York,New York County,40.7600248,-73.9653546,4
1200000,4,4.0,3300.0,New York,Bronx County,40.8580056,-73.8365535,4
222888,2,1.0,2184.207862,Queens County,Queens,40.7352139,-73.8226982,1
345000,3,2.0,1100.0,Bronx County,The Bronx,40.908552,-73.896916,1
968000,3,2.0,2845.0,New York,Richmond County,40.588988,-74.1530581,3
649000,2,2.0,1500.0,Queens County,Queens,40.7568337,-73.715194,2
6995000,5,2.3738608579684373,3912.0,New York,New York County,40.7732125,-73.9564279,5
1375000,2,2.0,2184.207862,New York,New York County,40.7791814,-73.9472929,4
694000,3,3.0,1360.0,New York,Richmond County,40.5423126,-74.1555672,2
229000,1,1.0,650.0,Kings County,Brooklyn,40.6308291,-74.0250165,1
32000000,4,6.0,7500.0,New York,New York County,40.7237571,-74.0021582,5
720000,1,1.0,2184.207862,Kings County,Brooklyn,40.687871,-73.994454,3
315000,2,1.0,1000.0,Bronx County,The Bronx,40.890384,-73.9117878,1
2995000,3,2.0,2184.207862,Kings County,Brooklyn,40.6703253,-73.9724152,5
1250000,5,4.0,2700.0,New York,Richmond County,40.5041935,-74.252823,4
6500000,5,4.0,4000.0,New York,New York County,40.7685714,-73.959526,5
398000,3,1.0,1000.0,Queens County,Queens,40.7756728,-73.827111,1
900000,1,1.0,2184.207862,New York County,New York,40.7768972,-73.9487946,3
1590000,7,4.0,1739.0,United States,New York,40.5859774,-73.9869629,4
650000,2,2.0,2184.207862,New York County,New York,40.7581185,-73.9620574,2
225000,1,1.0,900.0,Bronx County,The Bronx,40.8574263,-73.8708848,1
570000,3,1.0,515.0,New York County,New York,40.7097702,-74.0162823,2
725000,4,2.0,1700.0,New York,Kings County,40.6681943,-73.8749046,3
759000,3,2.0,2184.207862,Queens County,Queens,40.5958861,-73.7436025,3
998000,3,2.0,1232.0,New York,Kings County,40.6022677,-73.9611815,4
975000,2,1.0,2184.207862,New York County,New York,40.7997797,-73.9713866,3
975000,7,4.0,1920.0,New York,Bronx County,40.8345273,-73.8686683,3
208000,3,1.0,2184.207862,Queens County,Queens,40.7170693,-73.8332429,1
750000,1,1.0,654.0,Kings County,Brooklyn,40.708157,-73.944452,3
7850000,5,4.0,6060.0,New York,New York County,40.7366749,-73.9860561,5
399985,2,1.0,1148.0,New York,Kings County,40.6570214,-73.9072202,1
1800000,7,4.0,2832.0,New York,Kings County,40.6331671,-73.9597006,4
625000,2,1.0,1025.0,Queens County,Queens,40.7501671,-73.8924608,2
468000,1,1.0,500.0,Queens County,Queens,40.725653,-73.8596142,2
799000,2,2.0,1000.0,New York County,New York,40.7490288,-73.9719957,3
12500000,4,4.0,3550.0,New York County,New York,40.7266327,-74.0088321,5
2175000,2,2.0,1666.0,New York County,New York,40.771979,-73.9889567,5
1238000,3,2.0,1550.0,New York,Queens County,40.7561033,-73.7889919,4
899000,3,2.0,1440.0,New York,Richmond County,40.5159004,-74.2314825,3
1180000,8,4.0,3321.0,New York,Bronx County,40.8307543,-73.8757325,4
639000,3,2.0,1360.0,New York,Richmond County,40.5557386,-74.1635281,2
700000,4,2.0,1890.0,New York,Bronx County,40.885187,-73.854142,3
115000,3,1.0,2184.207862,Queens County,Queens,40.7104509,-73.7982064,1
1699000,3,2.0,2200.0,New York,Kings County,40.6870728,-73.9584649,4
559000,1,1.0,579.0,Kings County,Brooklyn,40.6915011,-73.9156479,2
735000,3,2.0,1600.0,New York,Kings County,40.6334425,-73.9402186,3
410000,2,2.0,2184.207862,Queens County,Queens,40.7203199,-73.84052,1
539000,1,1.0,2184.207862,Kings County,Brooklyn,40.6419847,-73.9614428,2
614900,3,2.0,1495.0,New York,Richmond County,40.6142391,-74.0884134,2
11950000,6,5.0,5336.0,New York,New York County,40.772751,-73.9650884,5
395000,2,1.0,950.0,Bronx County,The Bronx,40.909252,-73.905421,1
1050000,5,4.0,2552.0,New York,Richmond County,40.6013205,-74.130029,4
210000,3,2.3738608579684373,1840.0,New York,Kings County,40.664748,-73.884184,1
930000,3,2.0,2184.207862,New York,Queens County,40.7555333,-73.9016851,3
6995000,4,4.0,2184.207862,New York County,New York,40.7816743,-73.9600313,5
580000,5,2.0,1780.0,New York,Kings County,40.5874424,-73.9675716,2
1099999,4,2.0,2185.0,New York,Bronx County,40.8135939,-73.8019007,4
950000,2,1.0,1000.0,New York County,New York,40.7759205,-73.9861034,3
359000,2,1.0,850.0,New York County,New York,40.804259,-73.9415268,1
75000,3,2.3738608579684373,2184.207862,United States,New York,40.6942163,-73.7530902,1
385000,2,1.0,919.0,Kings County,Brooklyn,40.6543591,-73.8837899,1
2198888,11,6.0,2184.207862,New York,Queens County,40.7047192,-73.9112269,5
5950000,4,4.0,2184.207862,New York,New York County,40.7750765,-73.9495633,5
375000,1,1.0,2184.207862,Queens County,Queens,40.5770108,-73.8403983,1
199999,1,1.0,750.0,Kings County,Brooklyn,40.655858,-73.9377831,1
2500000,3,2.0,3200.0,New York County,New York,40.7468872,-73.9910651,5
390000,2,1.0,1100.0,New York,Queens County,40.7155654,-73.8311146,1
575000,2,1.0,900.0,New York,Queens County,40.5809134,-73.8302012,2
1149000,5,4.0,2169.0,New York,Kings County,40.6841571,-73.8820567,4
6900000,4,4.0,4000.0,New York,New York County,40.73439,-73.981607,5
2750000,3,5.0,4600.0,New York,Kings County,40.6126355,-73.909459,5
1275000,3,4.0,2184.207862,New York,Queens County,40.7675169,-73.7439734,4
425000,3,2.0,1700.0,New York,Bronx County,40.8817944,-73.8617772,2
695000,3,2.0,2184.207862,New York,Queens County,40.6950378,-73.8602956,2
875000,5,2.0,1974.0,New York,Kings County,40.6174718,-73.9231114,3
10500000,5,6.0,2184.207862,New York,New York County,40.7753473,-73.9646138,5
669000,4,2.0,2184.207862,New York,Queens County,40.6729779,-73.7330064,2
1295000,4,2.0,1995.0,Bronx County,The Bronx,40.8809873,-73.9224337,4
1880000,5,2.0,1850.0,New York,Kings County,40.6184547,-73.9949244,5
348000,3,2.3738608579684373,2184.207862,New York,Richmond County,40.575138,-74.090531,1
675000,2,2.0,904.0,New York,Queens County,40.7324713,-73.8670804,2
769000,7,2.0,2100.0,New York,Richmond County,40.6219621,-74.0832854,3
1099000,3,2.0,2700.0,New York,Kings County,40.6190264,-73.9056582,4
